"start","end","Johnson B Room","Peale A","Peale B","Peale C","Promenade","Ruth Room","Stadium 1 Room","Stadium 2 Room","Stadium 3 Room","University 1","Johnson A Room","Harbor 1 Room","Latrobe Room","Stadium 5 Room","Stadium 4 Room"
2021-11-07 11:40:00,2021-11-07 12:00:00,"-","Reconstructing Life Histories Of White Sharks Using Vertebral Chemistry","Rock(Fish) Around The Clock: Depths And Activity Levels Of Threatened Puget Sound Rockfish","-","-","-","-","-","-","-","-","-","-","-","-"
2021-11-07 13:00:00,2021-11-07 13:20:00,"First Insight Into Plastics Ingestion By Fish In The Gulf Of California, Mexico","Canaries In The Baltic Sea “Coal Mine”: Fish Otoliths Document Accelerating Climate Impacts","-","Crappie Population Dynamics And Harvest Regulations In Kansas Reservoirs","Assessing Shifts In Benthic And Pelagic Community Coupling In The Northwest Atlantic: Are Communi…","100 Years Of The North Branch Potomac River: An Industrial Watershed Turned To Cold-Water Success…","Development Of The Scifish Application, A Customizable Citizen Science Project Builder","-","Identifying Gillnet Bias In The Sampling Of Estuarine Predators Within A Temperate Estuary","Engaging Anglers In Scdnr's Fish Tagging Efforts","Climate Change Effects On North American Fishes To Inform Adaptation Strategies","-","-","-","-"
2021-11-07 13:20:00,2021-11-07 13:40:00,"The Lack Of Recovery Of Eastern Baltic Cod: Impacts Of Environmental Hypoxia On Community Dynamics","Using Otolith Microchemistry To Determine Natal Origin Of Black Sea Bass (Centropristis Striata) …","-","Using A Mixed-Methods Approach To Assess Char Diversity In The Central Canadian Arctic","Impacts Of Temperature Variability On Marine Fisheries In The Northeast Shelf Regional Ecosystem","Development Of Dissolved Oxygen, Temperature, And Nutrient Thresholds To Protect Cold Water Fish …","Minimizing Bias In Citizen Science","-","Effects Of Gear And Fate On Estimates Of Size-Selectivity From Mark-Recapture Experiments In Thre…","Using App Based Tournaments As A Source Of Fisheries Data","The Fish And Climate Change (Ficli) Database Findings On Climate Change Impacts And Management Ac…","-","-","-","-"
2021-11-07 13:40:00,2021-11-07 14:00:00,"Comparing Methods For Externally Attaching Electronic Tags To Fish: Assessment Of Tag Retention, …","Ontogenetic Patterns Of Elemental Tracers In The Vertebrae Cartilage Of Coastal And Oceanic Sharks","-","Movement Dynamics And Habitat Use Of Suwannee Bass In Georgia","Historical Range Shifts And The Influence Of Global Warming On Ocean Quahogs (Arctica Islandica)","Review Of Habitat Requirements, Distributions, And Protections Of Cold Water Fish Species In Minn…","Non-Probability Sampling In Fishing Effort And Catch Surveys","-","Comparing Distributions Using The Recently Developed Overlap Statistic <U+0397>-Hat: Examples And Sugges…","Penn State Trout Angler Science Study: Lessons We Learned So You Don’t Have To","Fishers’ Response To Temperature Change Reveals The Importance Of Integrating Human Behavior In C…","-","-","-","-"
2021-11-07 14:00:00,2021-11-07 14:20:00,"Life History And Reproductive Strategies Of Callinectes Sp. In A Tropical Urban Estuary","Age Validation Using Periodicity Of Annulus Formation And Hardpart Microconstituents In Black Sea…","-","Evaluation Of Lake-Wide Population Characteristic Differences Between The Northern Largemouth Bas…","Climate Drives Long-Term Change In Antarctic Silverfish Along The Western Antarctic Peninsula","Merging Ecology, History, And Law To Conserve Brook Trout In The Wild And Scenic Namekagon River,…","-","-","We Know Canadian Anglers Struggle To Identify Fish, We Just Can’t Prove It (Yet)","Trophycatch: Angler Recognition, Citizen Science, And Trophy Bass Conservation","Predicting Future Using Experience From Artificially Heated Water Systems: Impacts On Stock Produ…","-","-","-","-"
2021-11-07 14:20:00,2021-11-07 14:40:00,"-","Trophic Niche Responses To Hypoxia And Contaminant Stressors In Coastal Fishes","-","Analysis Of Size Structure Of Largemouth Bass (Micropterus Salmoides) In Georgia Reservoirs With …","-","The Impact Of Data Granularity On Temperature Gradient Modeling In Michigan’s Streams","-","-","-","How Do You Engage Your Anglers? Every Way You Can!","The Road Of Good Intentions For Mitigating Hydropower Impacts On Fisheries","-","-","-","-"
2021-11-07 15:00:00,2021-11-07 15:20:00,"-","-","-","-","-","Unique Challenges And Approaches To Conserving Temperature In Montana’s Coldwater Streams","-","-","-","Tnc Angler Engagement","Structure And Scale In Spatially Synchronous Southeastern Us Trout Populations","-","-","-","-"
2021-11-07 15:20:00,2021-11-07 15:40:00,"-","-","-","-","-","Water Temperature Investigations And Collaborations Of Penobscot Indian Nation – Protecting Water…","-","-","-","Panel Discussion","-","-","-","-","-"
2021-11-08 08:00:00,2021-11-08 08:20:00,"Biological Indicators Of Ecological Resilience For Informing Aquatic Ecosystem Conservation:  Tro…","The N Isotopic Relationship Between Fish Tissue And Otoliths: Controls And Variation","Recent Advances In Understanding Atlantic Striped Bass Population Dynamics And Fishery Management.","Population Trends And Trade-Offs In Long-Term Dynamics Of A Prairie Stream Fish Community","Quantifying The Effects Of Temperature Change On Freshwater Fish Spawning Phenology","-","-","-","-","The Commercial Fisheries Research Foundation Research Fleets: Progress And New Directions","Responsible Offshore Science Alliance (Rosa): Advancing Coordinated Regional Research And Monitor…","A Decade Of Thermal Hydraulic Modeling Improvements And Use In Understanding Thermal Impacts To R…","Patterns In Seasonal Estuarine Residency Of Mid-Atlantic Fishes In Relation To Climate","Why Are Relatively Few Fish Caught In The High Seas?","-"
2021-11-08 08:20:00,2021-11-08 08:40:00,"Accounting For Environmental Uniqueness, Connectivity, And Biodiversity Of Freshwater Habitats To…","Trophic Niche Overlap Of Atlantic Cod And Black Sea Bass In Relation To Warming Southern New Engl…","Examining The Relationship Between Flow And Year-Class Strength Of Striped Bass In The Roanoke Ri…","Fish Community Changes Following Fall Drawdown In An Irrigation Canal And Its Tributary Stream","Thermal Tolerance Of Fish To Heatwaves In Agricultural Streams: What Does Nou Maket Kill Yos You …","-","-","-","-","Analysis Of Gear Requirements For The Fixed Gear Lobster Fishery In The Gulf Of Maine, With Poten…","Responses Of Demersal Fish And Invertebrates To America's First Offshore Wind Farm","The Salmon-Peloton:  Hydraulic Habitat Shifts Of Adult Atlantic Salmon (Salmo Salar) Due To Behav…","Combining Historic Records And Habitat Suitability  Analysis To Assess The Potential For Lake Stu…","Estimation Of Size-Specific Catchability From Survey Trawl Data","-"
2021-11-08 08:40:00,2021-11-08 09:00:00,"Functional Redundancy As An Indicator Of General Ecological Resilience In Rivers: A National Pers…","Temporal And Spatial Variation In Growth In The Atlantic Surfclam (Spisula Solidissima)","Developing Water Temperature And Dissolved Oxygen Criteria And Visualizing The Effect On Summer H…","Impact Of Canal Operations On The Fish Communities And Biomass Of A Connected Prairie Stream","Building Climate Resiliency For Cold Water Species Conservation In Appalachian Watersheds","-","-","-","-","A Video Trawl Survey Reveals Ecological Influences On Yellowtail Flounder In Closed Area Ii, Geor…","Year One Of The South Fork Wind Farm Pre-Construction Beam Trawl Survey","An Ecohydrological Typology For Thermal Refuges In Streams And Rivers","Understanding Influences Of Landscape Factors On Stream Habitat: Information To Conserve Michigan…","In An Ecosystem Size Spectrum, Fear And Foraging Determine Fish Life Histories","-"
2021-11-08 09:00:00,2021-11-08 09:20:00,"Conserving The Freshwater Stage: Resilience Of Freshwater Ecosystems To A Changing Climate","Analysis Of Plus-Growth In Wild Atlantic Smolt Scales In The East Machias River, Maine Over A 7 Y…","What Do Simple Long-Term Egg And Juvenile Indices Say About Chesapeake Bay Striped Bass Productiv…","Laboratory Evaluation Of Reproductive Success In Johnny Darter Etheostoma Nigrum Relative To Wint…","-","-","-","-","-","Review Of The Vims Industry-Based Sea Scallop Dredge Surveys","Leveraging Historic Data Collections And New Collaborations To Better Understand Atlantic Sturgeo…","Dams May Force Semelparity In Atlantic Salmon","These Turbulent Times: Interactions Between Fish And Turbulence-Generating Simulated Instream Res…","Emergent Effects Of Species Shifts In The Rapidly Warming Gulf Of Maine","-"
2021-11-08 09:20:00,2021-11-08 09:40:00,"Indicators Of Freshwater Flow Conditions In An Altered And Imperiled Estuary","Assessing Spatiotemporal Trends In Hatch And Metamorphosis Timing Of Yoy Southern Flounder (Paral…","Climate Effects On The Timing Of Maryland Striped Bass Spawning Runs Using Spawning Stock, Taggin…","Non-Native Species As An Emerging Threat To Northern Prairie Fishes","Resiliency Of Apache Trout Habitats In A Warmer And Drier Climate Future","-","-","-","-","Swim, Sink, Or Snack? Cooperative Research To Assess The Post-Release Mortality Of Small Coastal …","Black Sea Bass And Coral Habitats In The Mid-Atlantic Bight: Implications For Windpower Development","Modeling Area Of Cold-Water Plumes In Sainte-Marguerite River, (Canada) Using Non-Deterministics …","Trophic Ecology And Species-Habitat Associations Of Gars (Lepisosteidae) In A Mississippi River F…","Implications Of The Interaction Between Fish Distribution Shifts And Migration Distances On Energ…","-"
2021-11-08 10:00:00,2021-11-08 10:20:00,"Quantifying Flow–Ecology Relationships Across Flow Regime Class And Ecoregions In South Carolina","Evaluation Of The Climate-Growth Relationship And Natural Mortality Of An Unfished Gastropod (Buc…","Histologically Determined Atlantic Striped Bass Female Age-At-Maturity","Characteristics Of The Natural Flow Regime Paradigm Explain  Occurrence Of Imperiled Prairie Fishes","Overview Of 111 World Aquatic Scientific Societies Statement On Human-Caused Climate Change","-","-","-","-","Evaluating The Effects Of A Deep-Water Marine Protected Area A Decade After Closure: Results And …","Spatiotemporal Spawning Dynamics Of Atlantic Cod And Potential Interactions With Offshore Wind En…","-","Seasonal & Tidal Movement Patterns Of Red Drum In A Restored Seascape","-","-"
2021-11-08 10:20:00,2021-11-08 10:40:00,"Variations In Field Metabolic Rate Derived From Otolith Stable Isotopes Reveal Complex Interactio…","Diet Isotope Chronology Reveals Linkages Between Marine Food Webs, Thiamine Deficiency, And Repro…","Differential Migration And Mortality In Chesapeake Bay Striped Bass","Perspectives Of Southern Great Plains State Agencies On Prairie Stream Conservation","Washington Policy Update: Us Climate Legislation","-","-","-","-","Panel Discussion","Potential Impacts Of Offshore Wind Facilities On Regional Sea Scallop Larval And Early Juvenile T…","-","Growth In Large River Deltas By An Estuarine-Dependent Fish: Evidence From Otoliths","An Overview Of The Use Of Isotope-Based Estimates Of Field Metabolic Rate And Experienced Tempera…","-"
2021-11-08 13:20:00,2021-11-08 13:40:00,"Confluences And Land Cover As Agents Of Change: Temporal Habitat Variability Modifies The Movemen…","-","Mycobacterial Prevalence In Hudson River Striped Bass Morone Saxatilis","The Role Of The Cooperative Research Units In The Conservation And Management Of Great Plains Fishes","Climate-Induced Changes In The Relative Abundance Of Freshwater Game Fish Inferred From Angler Ap…","Characterizing Effects Of Stream Fragmentation On Migratory Fishes Across The Conterminous United…","-","-","-","Shorter Seasons Reduce For-Hire Fishing Effort In A Multispecies Marine Fishery","Assessing Potential Impacts Of Offshore Wind Development On The Southern New England Cod Fishery","Thermal Metabolic Advantage: A Mechanism For Understanding The Effect Of Temperature On Predator-…","Understanding The Effects Of Environmental Variability On Recruitment And Abundance Of Penaeid Sh…","Improving Estimates Of Environmental Limits To Performance, Metabolic Scope, And Viable Habitat: …","Leveraging Big Data To Screen For Lake Invasions In The Upper Mississippi River Basin"
2021-11-08 13:40:00,2021-11-08 14:00:00,"Going The Distance: Multiscale Assessment Of Conchos Pupfish (Cyprinodon Eximius) Abundance And D…","-","Mycobacteriosis Of Striped Bass (Morone Saxatilis) In Virginia Tributaries Of The Chesapeake Bay","Enhancing Conservation Efforts Of Prairie Stream Ecosystems By Developing Integrated Databases","Corps’ Fish Habitat Restoration: Examples From Around The Us","Dam Removal In History, Current State Of Removal, And Future Needs","-","-","-","Investing In Fisheries And Restoring The Gulf Through The Deepwater Horizon Oceanic Fish Restorat…","Gone With The Wind?: Assessing The Spatio-Temporal Dynamics Of Longfin Squid Suitable Habitat And…","Phenotypic Level Changes Caused By Thermal Stress During Early Development In Zebrafish (Danio Re…","Oyster Aquaculture Installations As Habitat: An Acoustic Telemetry Study Of Juvenile Sheepshead (…","Let The Right One In: Exploiting Behavioral Traits Of Invasive Sea Lamprey To Achieve Selective F…","Protecting Our Waters: Oh What 100 Years Does To Provide Perspective.  Multi-Jurisdictional Appro…"
2021-11-08 14:00:00,2021-11-08 14:20:00,"Patterns And Predictors Of Alligator Gar Movement Across Mainstem-Tributary Ecotones","-","Development Of Spatially Explicit Population Models To Estimate Abundance Of Chesapeake Bay Fishes","University Of Nebraska Prairie Streams Working Group:  An Interdisciplinary Team For Confronting …","Quantifying Spatio-Temporal Responses Of Marine Ecosystems To Climate Change And Other Anthropoge…","Fishpass – Confronting The Connectivity Conundrum","-","-","-","Improvements In Endangered Species Bycatch Issues In Fisheries Associated With The Marine Steward…","The Potential To Model Future Range Shifts Of Commercial Species And Their Fisheries: A Possible …","Assessment Of Benthic Macroinvertebrate And Fish Communities Within A Future Stream Mitigation Ar…","Identification Of Southern Flounder Migration Corridors And Spawning Grounds In North Carolina","Bottling Fear: Methods For Invasive Species Management And Conservation Of Fishes","Hatchery Salmon And Ecological Overshoot"
2021-11-08 14:20:00,2021-11-08 14:40:00,"Intraspecific Variation In Native Rainbow Trout: A Comparison Of Morphological And Genetic Divers…","-","Integrative Assessment Of The Quality Of Shallow Tributary Forage Habitats For Striped Bass In Ch…","Plotting A Course For Science-Based, Data-Driven Watershed Conservation Through The Development …","A Flooded Future For River Chub? Predicted Effects Of Climate Change And Urbanization On Nesting …","Southeast Aquatic Barrier Inventory And Prioritization Tool:  Assessing Aquatic Habitat Fragmenta…","-","-","-","Panel Discussion","The Flyway Concept And Assessment Of Owf Impacts On Migratory Marine Fauna","How Has Extreme Geomorphic Change In A Historically Degraded Desert River Influenced Both Fish Ha…","Comparing Limits With Reality: How Thermal Sensitivity Of Anadromous Juvenile Alewife And Bluebac…","The Curious Case Of Stable Isotopes In Larval Lampreys: Larval Lamprey Lipids Are Enriched In 13c…","Thirty Five Years Later: New Research, Management And Policy As A Result Of The Dreissenid Mussel…"
2021-11-08 14:40:00,2021-11-08 15:00:00,"-","-","Were They Just Lucky With The Remarkable Recovery Of The Atlantic Coast Striped Bass Population?","-","-","2020 Fish Passage At The Big Bar Landslide, Fraser River, British Columbia","-","-","-","-","Panel Discussion","-","Modeling Fish Distributions In An Extreme Tidal Environment Using Data From Acoustic Telemetry","Modeling Juvenile Sea Lamprey Survival And Migratory Behavior With New Jsats Technology.","Overwintering And Spawning Habitat Use By Invasive Blue Catfish In A Tributary Of Chesapeake Bay"
2021-11-08 15:20:00,2021-11-08 15:40:00,"Comparing Biodiversity Indicators Derived From Genetic And Non-Genetic Information To Support Pop…","-","-","-","-","Design And Construction Of A Nature-Like Fishway For The Saco River, Maine","-","-","-","-","Panel Discussion","-","When Habitat Begets Habitat","-","Modeling The Full Life-Cycle Bioenergetics Of An Invasive Population Of Blue Catfish Using Dynami…"
2021-11-08 15:40:00,2021-11-08 16:00:00,"Countering The Legacy Of Erosion In North Mississippi Streams","-","-","-","-","Effectiveness Of A Nature-Like Fishway On A Large, Free-Flowing River In Montana, Usa","-","-","-","-","Panel Discussion","-","Spatial Habitat Constraints Of U.s. Northeast Fishes Vary Across Life History Stages","-","Preliminary Diet Analysis Of The Invasive Flathead Catfish (Pylodictis Olivaris) In A Pennsylvani…"
2021-11-08 16:00:00,2021-11-08 16:20:00,"-","-","-","-","-","Evaluating Fish Passage And Tailrace Space Use At A Low-Use Low-Head Lock-And-Dam","-","-","-","-","-","-","Underwater Video As A Tool To Quantify Fish In Complex Coastal Habitats","-","Attempting To Balance Migratory Fish Passage & Invasive Species Management: The Susquehanna River…"
2021-11-08 16:20:00,2021-11-08 16:40:00,"-","-","-","-","-","Field And Laboratory Testing Of Double Acoustic Tagging Techniques To Achieve Fine- And Broad-Sca…","-","-","-","-","-","-","Spatiotemporal Coherence Of Aggregate Biomass Ecosystem Indicators In The Mid-Atlantic Bight, Usa","-","-"
2021-11-08 16:40:00,2021-11-08 17:00:00,"-","-","-","-","-","-","-","-","-","-","-","-","Association Of Fishes And Macro Invertebrates To Sand Features In The New York Bight","-","-"
2021-11-08 17:00:00,2021-11-08 17:20:00,"-","-","-","-","-","-","-","-","-","-","-","-","Implications Of The Misalignment Of Management And Biological Units In Understanding Atlantic Cod…","-","-"
2021-11-08 17:20:00,2021-11-08 17:40:00,"-","-","-","-","-","-","-","-","-","-","-","-","The Importance Of Fine-Scale Data In Identifying Suitable Habitat For Atlantic Cod","-","-"
2021-11-09 08:00:00,2021-11-09 08:20:00,"Habitat Associations Of Blotchside Logperch (Percina Burtoni) In The Little River, Tennessee And …","Afs And Ams: Towards Operationalization Of Ecological Forecasting / What Is Ecological Forecasting?","Fish Habitat Issues In Iowa Lakes Versus Reservoirs, And Relationships With The Fishery","Reservoir Fisheries Management Is Rad! Resisting, Accepting And Directing Riverine Impoundment","Flatlined Flatfish? Status, Trends, And Fisheries Management Of Southern Flounder In Texas.","Estimating Alewife Spawning Run Size By Incorporating Rates Of Multi-Passage From Pit Tag Detecti…","What Have We Been Stocking All These Years? A Genomic Characterization Of Walleye Strains In West…","Primed And Cued: Linking Interannual And Seasonal Flow Dynamics To The Spawning Migrations Of Com…","Introduction","Keynote","Assessing Economic Impacts To The Us Commercial Surfclam Fishing Industry From Offshore Wind Ener…","-","Identifying The Impacts Of Fine Sediment And Drought Conditions On Brook Trout (Salvelinus Fontin…","We Have Been Working On This Forever: Why Is “Diversity And Inclusion” So Hard?","Marineomics: A New Web Resource For Robust And Reproducible Genomic Research In Marine And Aquati…"
2021-11-09 08:20:00,2021-11-09 08:40:00,"Dynamics Of Fish-Habitat Relationships In The North Platte River-Lake Mcconaughy Interface","Ecological Forecasting Initiative: Building A Community Of Practice","Balancing Ecosystem Complexity And Effective Management: Deriving And Understanding Discrete Rese…","A Rad Decision-Making Tool For Walleye (Sander Vitreus) Management In Wisconsin","Reconciling Conflicting Relative Abundance Trends By Accounting For Changing Ocean Conditions","Downstream Passage Of American Eels (Anguilla Rostrata) At A Hydroelectric Facility On The Roanok…","Population Genetic And Stock Enhancement Tools For Conservation Of The Overfished White Seabass, …","Atlantic Halibut Migratory Behavior And Stock Mixing Across The Northwest Atlantic","The Effect Of Movement, Energy Use, And Species Identity On Environmental Dna Shedding Of Fish","The Pep Model: Best Practices From The Woods Hole Partnership Education Program","Development Of A Fishery Owned Knowledge Trust And Demonstration Of Its Use In The Assessment Of …","-","Wildfire And Native Trout Recovery In Arizona","A Retrospective And Broad Review Of Diversity And Inclusion Efforts In Afs","Promises And Challenges For Reusing Pre-Existing Genomic Sequencing Data For Fisheries Research A…"
2021-11-09 08:40:00,2021-11-09 09:00:00,"Field Examination Of Altered Stream Temperatures On Reproductive Development Of Johnny Darter Eth…","Process-Based Forecasting Of Near-Term Range Shifts In Marine Species","Reversing What Time Has Taken Away: Mother Nature’s Experiment With Cove Connection In Harlan Cou…","Conserving The Laurel Dace (Chrosomus Saylori), A Federally Endangered Minnow","Comparative Case Studies Of Fisheries (Re-)Allocation Processes Under Climate Change","Using Sensor Fish Transmitters As Proxies For Documenting Downstream Fish Passage Conditions At L…","Encounter Rates And Catch-And-Release Mortality Of Steelhead In Idaho","High Retention Duration Of Pop-Off Satellite Archival Tags With Sheepshead (Archosargus Probatoce…","Integrating Physiology And Environmental Dynamics To Operationalize Environmental Dna (Edna) As A…","Diversity, Inclusion & U.s. Aquaculture","Considerations For Gear Standardization For Research And Monitoring In Offshore Lease Areas","-","Microhabitat And Energetics Of Juvenile Chinook Salmon In A Simulated Floodplain","What White Guys Don’t Know: Barriers To Minority Participation In Fisheries","Long-Read Genome Resequencing (""Lrg-Seq"") Provides Simultaneous Estimation Of Snps, Structural Va…"
